Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price,cpu_brand,cpu_series,touch,is_new,has_discrete_gpu,price_per_ram_gb,price_per_storage_gb,price_tier,ram_tier
"ASUS ROG Strix G15 G513RC-HN088 AMD Ryzen 7 6800H/16GB/512GB SSD/RTX 3050/15.6""",New,ASUS,ROG,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,1199.0,AMD,Ryzen 7,0,1,1,74.94,2.3418,High-end,Mid (16GB)
"Lenovo V15 G3 ABA AMD Ryzen 5 5625U/16GB/512GB SSD/15.6""",New,Lenovo,V15,AMD Ryzen 5,16,512,SSD,Integrated,15.6,No,476.99,AMD,Ryzen 5,0,1,0,29.81,0.9316,Budget,Mid (16GB)
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U/8GB/256GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,Integrated,15.6,No,391.0,AMD,Ryzen 3,0,1,0,48.88,1.5273,Budget,Low (<=8GB)
"HP 15S-FQ5013NS Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,HP,15S,Intel Core i5,8,512,SSD,Integrated,15.6,No,699.0,Intel,Core i5,0,1,0,87.38,1.3652,Mid-range,Low (<=8GB)
"Lenovo IdeaPad 3 15IAU7 Intel Core i5-1235U/16GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,Integrated,15.6,No,799.0,Intel,Core i5,0,1,0,49.94,1.5605,Mid-range,Mid (16GB)
"HP 15S-FQ2163NS Intel Core i3-1115G4/8GB/512GB SSD/15.6""",New,HP,15S,Intel Core i3,8,512,SSD,Integrated,15.6,No,549.0,Intel,Core i3,0,1,0,68.62,1.0723,Mid-range,Low (<=8GB)
"ASUS VivoBook 15 F515JA-EJ4134 Intel Core i7-1065G7/8GB/512GB SSD/15.6""",New,ASUS,VivoBook,Intel Core i7,8,512,SSD,Integrated,15.6,No,769.0,Intel,Core i7,0,1,0,96.12,1.502,Mid-range,Low (<=8GB)
"MSI GF63 Thin 11UC-446XES Intel Core i7-11800H/16GB/512GB SSD/RTX 3050/15.6""",New,MSI,Thin,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,999.0,Intel,Core i7,0,1,1,62.44,1.9512,Mid-range,Mid (16GB)
"MSI Cyborg 15 A12VF-098XES Intel Core i5-12450H/16GB/1TB SSD/RTX 4060/15.6""",New,MSI,Cyborg,Intel Core i5,16,1000,SSD,RTX 4060,15.6,No,1249.0,Intel,Core i5,0,1,1,78.06,1.249,High-end,Mid (16GB)
"ASUS M515UA-EJ486W AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",New,ASUS,M515UA,AMD Ryzen 7,16,512,SSD,Integrated,15.6,No,789.0,AMD,Ryzen 7,0,1,0,49.31,1.541,Mid-range,Mid (16GB)
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 7,16,512,SSD,Integrated,15.6,No,729.0,AMD,Ryzen 7,0,1,0,45.56,1.4238,Mid-range,Mid (16GB)
"ASUS TUF Gaming F15 FX506HC-HN004 Intel Core i5-11400H/16GB/512GB SSD/RTX 3050/15.6""",New,ASUS,TUF,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,1099.0,Intel,Core i5,0,1,1,68.69,2.1465,High-end,Mid (16GB)
"Acer Aspire 3 A315-59-37GX Intel Core i3-1215U/8GB/256GB SSD/15.6""",New,Acer,Aspire,Intel Core i3,8,256,SSD,Integrated,15.6,No,539.01,Intel,Core i3,0,1,0,67.38,2.1055,Mid-range,Low (<=8GB)
"ASUS TUF Gaming F15 FX507ZC4-HN002 Intel Core i7-12700H/16GB/512GB SSD/RTX 3050/15.6""",New,ASUS,TUF,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,1179.0,Intel,Core i7,0,1,1,73.69,2.3027,High-end,Mid (16GB)
"Alurin Go Start Intel Celeron N4020/8GB/256GB SSD/14""",New,Alurin,Go,Intel Celeron,8,256,SSD,Integrated,14.0,No,239.0,Intel,Celeron,0,1,0,29.88,0.9336,Budget,Low (<=8GB)
"HP Victus 15-fa0012ns Intel Core i5-12500H/16GB/512GB SSD/RTX 3050/15.6""",New,HP,Victus,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,999.0,Intel,Core i5,0,1,1,62.44,1.9512,Mid-range,Mid (16GB)
"HP Pavilion 15-eh1004ns AMD Ryzen 5 5500U/16GB/512GB SSD/15.6""",New,HP,Pavilion,AMD Ryzen 5,16,512,SSD,Integrated,15.6,No,799.0,AMD,Ryzen 5,0,1,0,49.94,1.5605,Mid-range,Mid (16GB)
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/8GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,Intel Core i5,8,512,SSD,Integrated,15.6,No,519.01,Intel,Core i5,0,1,0,64.88,1.0137,Mid-range,Low (<=8GB)
"HP 15S-FQ5028NS Intel Core i5-1235U/16GB/512GB SSD/15.6""",New,HP,15S,Intel Core i5,16,512,SSD,Integrated,15.6,No,789.0,Intel,Core i5,0,1,0,49.31,1.541,Mid-range,Mid (16GB)
"MSI Katana 15 B12VFK-095XES Intel Core i7-12650H/16GB/512GB SSD/RTX 4060/15.6""",New,MSI,Katana,Intel Core i7,16,512,SSD,RTX 4060,15.6,No,1549.0,Intel,Core i7,0,1,1,96.81,3.0254,Premium,Mid (16GB)
